Marks out of,80.0

Index,Marks,
21020019,61,
21020027,62,
21020035,68,
21020043,53,
21020051,61,
21020078,60,
21020086,56,
21020094,77,
21020108,44,
21020116,67,
21020132,66,
21020142,68,
21020167,70,
21020175,72,
21020183,70,
21020191,59,
21020205,40,
21020213,56,
21020221,57,
21020231,70,
21020248,68,
21020256,62,
21020264,64,
21020272,64,
21020282,66,
21020312,75,
21020329,38,
21020337,57,
21020345,68,
21020353,72,
21020361,68,
21020371,64,
21020388,62,
21020396,51,
21020401,52,
21020418,76,
21020426,61,
21020434,73,
21020442,78,
21020452,49,
21020469,66,
21020485,61,
21020493,66,
21020507,70,
21020515,52,
21020523,56,
21020531,52,
21020541,68,
21020558,62,
21020566,63,
21020574,61,
21020582,61,
21020592,68,
21020604,70,
21020612,63,
21020622,54,
21020639,74,
21020655,51,
21020663,61,
21020681,47,
21020698,46,
21020701,59,
21020711,58,
21020728,70,
21020736,70,
21020744,68,
21020762,65,
21020779,71,
21020787,64,
21020795,75,
21020809,70,
21020817,57,
21020825,52,
21020833,55,
21020841,72,
21020851,66,
21020868,49,
21020876,59,
21020884,59,
21020892,57,
21020906,64,
21020914,68,
21020922,59,
21020957,37,
21020965,71,
21020973,63,
21020981,44,
21020991,68,
21021007,72,
21021015,56,
21021023,60,
21021031,62,
21021041,55,
21021058,48,
21021066,65,
21021074,65,
21021082,45,
19020058,39,
19020244,60,
19020929,58,
20020082,63,
20020211,52,
20020325,41,
20020351,61,
20020392,51,
20020457,61,
20020465,58,
20020481,67,
20020503,49,
20020572,47,
20020661,58,
20020783,63,
20021046,41,
20021089,70,
20021127,64,
20021151,47,
20021161,60,
20021216,39,
